2026-03-28 18:22:20 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0007 | E=4 R=2 | 8.6s
2026-03-28 18:22:21 | W18 Qwen_18 | model=qwen3.5-plus | file=019_南海龙狮南海衣冠南海古村_南海衣冠篇.md | chunk_0004 | E=15 R=0 | 15.4s
2026-03-28 18:22:21 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0008 | E=0 R=0 | 1.0s
2026-03-28 18:22:22 | W2 Qwen_2 | model=qwen3.5-plus | file=003_中枢与象征_佛山祖庙.md | chunk_0002 | E=10 R=4 | 15.9s
2026-03-28 18:22:22 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0009 | E=0 R=0 | 0.7s
2026-03-28 18:22:23 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0010 | E=0 R=0 | 1.0s
2026-03-28 18:22:24 | W8 Qwen_8 | model=qwen3.5-plus | file=009_佛山祖庙.md | chunk_0003 | E=16 R=15 | 34.2s
2026-03-28 18:22:24 | W6 Qwen_6 | model=qwen3.5-plus | file=007_佛山市志_下.md | chunk_0002 | E=11 R=6 | 17.3s
2026-03-28 18:22:24 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0011 | E=0 R=0 | 0.7s
2026-03-28 18:22:25 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0012 | E=0 R=0 | 0.7s
2026-03-28 18:22:25 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0013 | E=0 R=0 | 0.7s
2026-03-28 18:22:26 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0014 | E=0 R=0 | 0.7s
2026-03-28 18:22:27 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0015 | E=0 R=0 | 1.1s
2026-03-28 18:22:27 | W17 Qwen_17 | model=qwen3.5-plus | file=018_南海龙狮南海衣冠南海古村_南海古村篇.md | chunk_0003 | E=12 R=0 | 12.5s
2026-03-28 18:22:28 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0016 | E=0 R=0 | 1.0s
2026-03-28 18:22:29 | W7 Qwen_7 | model=qwen3.5-plus | file=008_佛山文史资料.md | chunk_0006 | E=11 R=8 | 21.6s
2026-03-28 18:22:29 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0017 | E=0 R=0 | 0.7s
2026-03-28 18:22:29 | W5 Qwen_5 | model=qwen3.5-plus | file=021_大德南海志_维基文库.md | chunk_0001 | E=15 R=14 | 31.0s
2026-03-28 18:22:30 | W7 Qwen_7 | model=qwen3.5-plus | file=008_佛山文史资料.md | chunk_0007 | E=0 R=0 | 0.8s
2026-03-28 18:22:30 | W10 Qwen_10 | model=qwen3.5-plus | file=011_南海市西樵山旅游度假区志.md | chunk_0018 | E=0 R=0 | 0.9s
2026-03-28 18:22:30 | W5 Qwen_5 | model=qwen3.5-plus | file=021_大德南海志_维基文库.md | chunk_0002 | E=0 R=0 | 0.9s
2026-03-28 18:22:31 | W19 Qwen_19 | model=qwen3.5-plus | file=020_南海龙狮南海衣冠南海古村_南海龙狮篇.md | chunk_0003 | E=9 R=7 | 18.7s
