entity_name,entity_type,mentions,source_count,lng,lat,town,match_source,match_id
大岗,地名,4,2,113.009919,23.083222,狮山镇,poi_contain,B02F508G1Z
松塘,地名,4,3,112.907173,22.992616,nan,anchor_contain,ANC_0022
林村,地名,4,3,113.161515,23.19654,里水镇,poi_contain,B0FFLC3BRE
帝亲殿,建筑遗迹,4,3,112.960867,22.935939,西樵镇,poi_exact,B0FFHHCWAZ
东海,地名,4,4,112.920141,23.108405,狮山镇,poi_contain,B0H6OHR7P9
麻奢,地名,4,4,113.115287,23.214767,里水镇,poi_contain,B02F50ZFH7
罗行圩,地名,4,1,112.952101,23.029292,,anchor_exact,ANC_0153
和顺村,地名,4,2,113.131789,23.25719,里水镇,poi_contain,B0FFL3EYTG
南国桃园,地名,4,2,113.103899,23.183076,大沥镇,poi_exact,B0FFG4B8C9
汤村,地名,4,2,113.122051,23.289778,里水镇,poi_contain,B0FFGGY4NQ
榕树,建筑遗迹,4,1,113.148751,23.039619,桂城街道,poi_contain,B0GK6NP7CV
杜氏大宗祠,建筑遗迹,4,3,113.202257,23.133661,大沥镇,poi_exact,B02F50UEO4
潘氏大宗祠,建筑遗迹,4,1,112.915313,22.965419,西樵镇,poi_exact,B02F507C71
怀集,地名,4,3,112.998552,23.085099,狮山镇,poi_contain,B02F5045O3
北海,建筑遗迹,4,4,112.947093,22.973105,西樵镇,poi_contain,B0FFMCELKP
大榄,地名,4,4,113.02664,23.193956,狮山镇,poi_contain,B0HG2UZA6Z
蛇龙北天主堂,建筑遗迹,4,1,113.018708,22.824724,丹灶镇,poi_contain,B0FFK48YQW
博物馆,建筑遗迹,4,1,113.154747,23.070851,桂城街道,poi_contain,B0H1K51FNE
北村,地名,4,1,113.04237,23.0569,狮山镇,poi_contain,B0FFIVGHCN
虎门,地名,3,3,113.237383,23.036828,桂城街道,poi_contain,B0FFKBRQHQ
高桥,建筑遗迹,3,2,113.170944,23.046977,桂城街道,poi_exact,B02F50XMGB
大宗祠,建筑遗迹,3,3,113.172828,23.132034,大沥镇,poi_contain,B0FFJDKGH8
福德祠,建筑遗迹,3,3,113.139763,23.232225,里水镇,poi_exact,B0FFH47A6W
金山,地名,3,2,113.097409,23.249307,大沥镇,poi_contain,B0FFKCKFN3
祖祠,建筑遗迹,3,3,113.129999,23.113255,里水镇,poi_contain,B0FFH4942R
罗浮,地名,3,3,113.183454,23.108146,大沥镇,poi_contain,B0FFFVEG1W
花园,建筑遗迹,3,2,113.148149,23.037692,桂城街道,poi_contain,B0H3THEBO7
石头,地名,3,3,112.984446,23.206096,狮山镇,poi_contain,B02F50V7IM
观音铜像,建筑遗迹,3,3,112.931581,23.051209,狮山镇,poi_contain,B0FFKCIJJP
八角亭,建筑遗迹,3,2,113.17601,23.109877,大沥镇,poi_exact,B0FFL72ZEO
福建,地名,3,2,112.984316,23.175809,狮山镇,poi_contain,B0FFGWPQOP
石龙,地名,3,2,113.180088,23.034503,桂城街道,poi_contain,B0G12AJ1F9
互勉亭,建筑遗迹,3,2,113.238379,23.034562,桂城街道,poi_exact,B0FFL2WR8Y
大基尾,地名,3,2,113.153613,23.088132,大沥镇,poi_contain,B02F507B1N
太史第,建筑遗迹,3,2,112.93488,23.047074,丹灶镇,poi_exact,B0HRV7T4XT
广东南海,地名,3,3,112.961858,23.070851,狮山镇,poi_contain,B0KAZ7IXF0
南水村,地名,3,1,112.955985,22.870267,西樵镇,poi_contain,B0LGHCO34S
小江村,地名,3,3,113.086302,23.220141,大沥镇,poi_contain,B0FFIK1L8C
七星岩水月宫,建筑遗迹,3,3,113.169373,23.113815,里水镇,poi_contain,B0FFL92KWP
升平,地名,3,2,112.981367,23.090541,狮山镇,poi_contain,B0FFHWXKYR
工人文化宫,建筑遗迹,3,2,113.01039,23.117597,狮山镇,poi_contain,B0L23G4700
莲塘,地名,3,3,113.0906,23.189723,大沥镇,poi_contain,B02F50XHHC
季华,地名,3,2,113.148272,23.014375,桂城街道,poi_contain,B0K33Z1N95
生祠,建筑遗迹,3,2,113.178515,23.050269,桂城街道,poi_contain,B0FFGQAKTO
文化馆,建筑遗迹,3,2,112.95552,23.066059,狮山镇,poi_contain,B0FFIKOMBO
港澳,地名,3,3,113.150881,23.053239,桂城街道,poi_contain,B0FFHGL3XH
西樵山云泉仙馆,建筑遗迹,3,2,112.972113,22.939326,西樵镇,poi_exact,
罗村一中,地名,3,1,113.082695,23.061334,大沥镇,poi_exact,B02F5076B2
中共南三花工委旧址,建筑遗迹,3,1,113.141342,23.191706,里水镇,poi_exact,B0FFJ5JXOQ
文明村,地名,3,2,113.156461,23.12208,里水镇,poi_contain,B0FFGGS6H6
南海九江中学,建筑遗迹,3,3,113.020957,22.836677,九江镇,poi_exact,B02F500E9F
南海文化馆,建筑遗迹,3,1,113.141115,23.024813,桂城街道,poi_exact,B02F501IFU
河西,地名,3,3,113.163138,23.076836,大沥镇,poi_contain,B0GU9XUUR4
七星,地名,3,1,112.987725,22.891075,西樵镇,poi_contain,B0L37KKTHT
山根,地名,3,1,112.992948,22.933831,丹灶镇,poi_contain,B0HKY7XU3Y
南海书院,建筑遗迹,3,3,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
官山区,地名,3,2,113.003022,22.952411,西樵镇,poi_contain,
西樵山天湖,地名,3,2,112.97,22.93,西樵镇,anchor_exact,ANC_0124
云海莲台景区,建筑遗迹,3,1,112.969013,22.932146,西樵镇,poi_contain,B0FFGRN2RR
大同村,地名,3,1,112.899757,23.023353,丹灶镇,poi_contain,B02F5076XX
儒溪村,地名,3,1,112.953897,22.900263,西樵镇,poi_contain,B0LBS5UDJF
谭氏宗祠,建筑遗迹,3,1,113.15614,23.236106,里水镇,poi_exact,B0FFH4AE58
陆氏宗祠,建筑遗迹,3,2,112.939885,23.110232,狮山镇,poi_exact,B0FFK8EFMU
百东村,地名,3,1,112.92533,22.967241,丹灶镇,poi_contain,B0IDGUU8OF
潘氏宗祠,建筑遗迹,3,1,113.17906,23.080363,里水镇,poi_exact,B0FFFZ1P4M
樵丹路,地名,3,1,112.955082,22.951949,西樵镇,poi_contain,B0FFFAA5MS
