id,name,category,original_type,address,town,lng,lat,rating,has_nonheritage,nonheritage_match,query_type
B0LAP7LPS6,汤村村汤氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,S47广佛江珠高速入口与金小线交叉口北360米,里水镇,113.137562,23.289156,3.4,False,,关键词:祠堂
B0LAP7LIVW,邝氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,新凤线与478乡道交叉口南400米,狮山镇,112.957102,23.206291,3.4,False,,关键词:祠堂
B0LAP7L99F,梁氏宗祠,其他,生活服务;生活服务场所;生活服务场所,庆云街与朝新路交叉口南500米,西樵镇,112.976729,22.933303,3.2,False,,关键词:祠堂
B0LAP7F790,霍氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,村前大街与上朗段交叉口东220米,丹灶镇,112.930983,22.991846,2.8,False,,关键词:祠堂
B0LANRZ6IX,易氏宗祠,其他,生活服务;生活服务场所;生活服务场所,环江东路与伴北路交叉口西南180米,里水镇,113.132917,23.178755,3.7,False,,关键词:祠堂
B0LANRY0FP,汤氏宗祠,其他,生活服务;生活服务场所;生活服务场所,团结街与金兰街交叉口东北180米,里水镇,113.169389,23.261816,3.6,False,,关键词:祠堂
B0LAKXQ74V,陈氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,西鸦村活动中心东侧50米,大沥镇,113.109199,23.162757,3.2,False,,关键词:祠堂
B0LAKXNTKA,灶岗袁氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,灶岗士多店西侧200米,里水镇,113.122619,23.255619,3.8,False,,关键词:祠堂
B0LAKXNT8S,陈氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,中区二路横二街与北区一路交叉口东420米,里水镇,113.122748,23.14405,2.9,False,,关键词:祠堂
B0LAKXMZ06,李氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,丹灶涡南村,丹灶镇,112.934511,23.030708,3.3,False,,关键词:祠堂
B0LAB7ZPE1,赵氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,羔儒线与儒溪上儒大街交叉口东北140米,西樵镇,112.960923,22.906635,3.4,False,,关键词:祠堂
B0LAB7ZAIG,塘口黄氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,樵金中路与南达路交叉口西南260米,丹灶镇,112.96424,23.030452,3.5,False,,关键词:祠堂
B0LAB74BPM,周氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,元周南头街与元东新街交叉口北220米,里水镇,113.138524,23.282661,3.0,False,,关键词:祠堂
B0LAA7OH8Q,姓李祠堂,人文古迹,生活服务;生活服务场所;生活服务场所,邓岗通道与姓苏路交叉口西40米,里水镇,113.153984,23.18686,2.7,False,,关键词:祠堂
B0LAA7OG4P,靖波潘宗祠,自然景观,风景名胜;风景名胜;寺庙道观,新堤西路与璜矶大道交叉口西北480米,西樵镇,112.960265,22.846404,3.7,False,,关键词:祠堂
B0LAA7O6ON,九江镇新龙村关氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,新涌三路与新龙路交叉口西20米,九江镇,113.001695,22.85474,3.7,False,,关键词:祠堂
B0LA7UW5N7,原氏宗祠,自然景观,风景名胜;风景名胜;风景名胜,蟠溪路1号,狮山镇,112.902057,23.064574,3.0,False,,关键词:祠堂
B0LA5RN8X1,邵边邵氏大宗祠,自然景观,风景名胜;风景名胜;风景名胜,佛山一环路与广佛新干线交叉口西南300米,里水镇,113.163884,23.099559,4.1,False,,关键词:祠堂
B0LA5CV38S,小布村黄氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,北园街与村面街交叉口西280米,里水镇,113.126909,23.299799,3.8,False,,关键词:祠堂
B0LA4R9AHR,村尾村祠堂,自然景观,风景名胜;风景名胜相关;旅游景点,深深金属制品有限公司南侧240米,丹灶镇,112.956927,23.01563,3.4,False,,关键词:祠堂
B0LA4R84C1,李氏宗祠,其他,生活服务;生活服务场所;生活服务场所,西便大街与良溪直街交叉口西南140米,桂城街道,113.166395,23.049936,3.9,False,,关键词:祠堂
B0L6PMC3OA,何氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,海滨路9号街前8号,丹灶镇,112.922918,23.040759,3.5,False,,关键词:祠堂
B0L6CUJXNP,白氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,科技东路与科普中路交叉口东南340米,狮山镇,113.018208,23.099057,3.8,False,,关键词:祠堂
B0L67GT7X9,梁氏大宗祠,自然景观,风景名胜;风景名胜相关;旅游景点,直涌路与中村路交叉口东南280米,桂城街道,113.15865,23.002964,3.8,False,,关键词:祠堂
B0L66MLIBR,邝氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,汀三线与纵向六路交叉口西南180米,狮山镇,113.009027,23.208234,4.1,False,,关键词:祠堂
B0L3X92DND,狮西华凤祠堂,自然景观,风景名胜;风景名胜;寺庙道观,上足五金东侧120米,狮山镇,112.962103,23.184451,3.7,False,,关键词:祠堂
B0L3SB31ZW,谢氏宗祠,其他,生活服务;生活服务场所;生活服务场所,东头大街与蟠溪路交叉口西南160米,狮山镇,112.902256,23.064158,3.1,False,,关键词:祠堂
